Date Time,dissolved oxygen(ppm)
9/4/2019 17:28,7.06
9/4/2019 17:29,7.57
9/4/2019 17:29,7.69
9/4/2019 17:29,7.76
9/4/2019 17:30,7.81
9/4/2019 17:30,7.79
9/4/2019 17:31,7.8
9/4/2019 17:31,7.81
9/4/2019 17:32,7.82
9/4/2019 17:32,7.82
9/4/2019 17:32,7.81
9/4/2019 17:33,7.82
9/4/2019 17:33,7.79
9/4/2019 17:34,7.8
9/4/2019 17:34,7.79
9/4/2019 17:35,7.78
9/4/2019 17:35,7.81
9/4/2019 17:35,7.83
9/4/2019 17:36,7.79
9/4/2019 17:36,7.8
9/4/2019 17:37,7.85
9/4/2019 17:37,7.81
9/4/2019 17:38,7.82
9/4/2019 17:38,7.8
9/4/2019 17:38,7.79
9/4/2019 17:39,7.81
9/4/2019 17:39,7.8
9/4/2019 17:40,7.81
9/4/2019 17:40,7.81
9/4/2019 17:40,7.81
9/4/2019 17:41,7.81
9/4/2019 17:41,7.83
9/4/2019 17:42,7.84
9/4/2019 17:42,7.84
9/4/2019 17:43,7.87
9/4/2019 17:43,7.83
9/4/2019 17:43,7.84
9/4/2019 17:44,7.83
9/4/2019 17:44,7.85
9/4/2019 17:45,7.85
9/4/2019 17:45,7.86
9/4/2019 17:46,7.83
9/4/2019 17:46,7.89
9/4/2019 17:46,7.85
9/4/2019 17:47,7.82
9/4/2019 17:47,7.83
9/4/2019 17:48,7.84
9/4/2019 17:48,7.84
9/4/2019 17:48,7.83
9/4/2019 17:49,7.84
9/4/2019 17:49,7.82
9/4/2019 17:50,7.85
9/4/2019 17:50,7.83
9/4/2019 17:51,7.83
9/4/2019 17:51,7.85
9/4/2019 17:51,7.82
9/4/2019 17:52,7.81
9/4/2019 17:52,7.82
9/4/2019 17:53,7.83
9/4/2019 17:53,7.83
9/4/2019 17:54,7.83
9/4/2019 17:54,7.85
9/4/2019 17:54,7.85
9/4/2019 17:55,7.84
9/4/2019 17:55,7.84
9/4/2019 17:56,7.85
9/4/2019 17:56,7.94
9/4/2019 17:57,7.83
9/4/2019 17:57,7.84
9/4/2019 17:57,7.84
9/4/2019 17:58,7.85
9/4/2019 17:58,7.86
9/4/2019 17:59,7.85
9/4/2019 17:59,7.84
9/4/2019 17:59,7.84
9/4/2019 18:00,7.83
9/4/2019 18:00,7.85
9/4/2019 18:01,7.85
9/4/2019 18:01,7.83
9/4/2019 18:02,7.82
9/4/2019 18:02,7.83
9/4/2019 18:02,7.82
9/4/2019 18:03,7.87
9/4/2019 18:03,7.81
9/4/2019 18:04,7.82
9/4/2019 18:04,7.81
9/4/2019 18:05,7.84
9/4/2019 18:37,7.67
9/4/2019 18:37,7.69
9/4/2019 18:38,7.74
9/4/2019 18:38,7.75
9/4/2019 18:38,7.77
9/4/2019 18:39,7.78
9/4/2019 18:39,7.76
9/4/2019 18:40,7.79
9/4/2019 18:40,7.84
9/4/2019 18:41,7.77
9/4/2019 18:41,7.78
9/4/2019 18:41,7.79
9/4/2019 18:42,7.78
9/4/2019 18:42,7.81
9/4/2019 18:43,7.78
9/4/2019 18:43,7.79
9/4/2019 18:44,7.81
9/4/2019 18:44,7.81
9/4/2019 18:44,7.81
9/4/2019 18:45,7.82
9/4/2019 18:45,7.82
9/4/2019 18:46,7.83
9/4/2019 18:46,7.82
9/4/2019 18:46,7.83
9/4/2019 18:47,7.82
9/4/2019 18:47,7.85
9/4/2019 18:48,7.83
9/4/2019 18:48,7.8
9/4/2019 18:49,7.82
9/4/2019 18:49,7.83
9/4/2019 18:49,7.82
9/4/2019 18:50,7.84
9/4/2019 18:50,7.84
9/4/2019 18:51,7.84
9/4/2019 18:51,7.86
9/4/2019 18:52,7.88
9/4/2019 18:52,7.87
9/4/2019 18:52,7.91
9/4/2019 18:53,7.89
9/4/2019 18:53,7.88
9/4/2019 18:54,7.86
9/4/2019 18:54,7.91
9/4/2019 18:55,7.88
9/4/2019 18:55,7.93
9/4/2019 18:55,7.88
9/4/2019 18:56,7.88
9/4/2019 18:56,7.9
9/4/2019 18:57,7.9
9/4/2019 18:57,7.95
9/4/2019 18:57,7.91
9/4/2019 18:58,7.91
9/4/2019 18:58,7.91
9/4/2019 18:59,7.9
9/4/2019 18:59,7.91
9/4/2019 19:00,7.91
9/4/2019 19:00,7.91
9/4/2019 19:00,7.93
9/4/2019 19:01,7.91
9/4/2019 19:01,7.98
9/4/2019 19:02,7.97
9/4/2019 19:02,7.91
9/4/2019 19:03,7.93
9/4/2019 19:03,7.9
9/4/2019 19:03,7.92
9/4/2019 19:04,7.91
9/4/2019 19:04,7.91
9/4/2019 19:05,7.9
9/4/2019 20:37,7.09
9/4/2019 20:37,7.61
9/4/2019 20:37,7.71
9/4/2019 20:38,7.81
9/4/2019 20:38,7.84
9/4/2019 20:39,7.82
9/4/2019 20:39,7.84
9/4/2019 20:40,7.84
9/4/2019 20:40,7.86
9/4/2019 20:40,7.85
9/4/2019 20:41,7.88
9/4/2019 20:41,7.85
9/4/2019 20:42,7.88
9/4/2019 20:42,7.87
9/4/2019 20:43,7.88
9/4/2019 20:43,7.87
9/4/2019 20:43,7.85
9/4/2019 20:44,7.86
9/4/2019 20:44,7.9
9/4/2019 20:45,7.88
9/4/2019 20:45,7.96
9/4/2019 20:46,7.94
9/4/2019 20:46,7.89
9/4/2019 20:46,7.88
9/4/2019 20:47,7.83
9/4/2019 20:47,7.84
9/4/2019 20:48,7.86
9/4/2019 20:48,7.85
9/4/2019 20:48,7.87
9/4/2019 20:49,7.89
9/4/2019 20:49,7.86
9/4/2019 20:50,7.87
9/4/2019 20:50,7.91
9/4/2019 20:51,7.88
9/4/2019 20:51,7.88
9/4/2019 20:51,7.87
9/4/2019 20:52,7.89
9/4/2019 20:52,7.87
9/4/2019 20:53,7.89
9/4/2019 20:53,7.91
9/4/2019 20:54,7.89
9/4/2019 20:54,7.89
9/4/2019 20:54,7.92
9/4/2019 20:55,7.92
9/4/2019 20:55,7.93
9/4/2019 20:56,7.88
9/4/2019 20:56,7.92
9/4/2019 20:57,7.9
9/4/2019 20:57,7.9
9/4/2019 20:57,7.93
9/4/2019 20:58,7.94
9/4/2019 20:58,8.01
9/4/2019 20:59,7.89
9/4/2019 20:59,7.94
9/4/2019 20:59,7.93
9/4/2019 21:00,7.94
9/9/2019 23:52,7.24
9/9/2019 23:52,7.71
9/9/2019 23:53,7.78
9/9/2019 23:53,7.82
9/9/2019 23:54,7.83
9/9/2019 23:54,7.84
9/9/2019 23:54,7.84
9/9/2019 23:55,7.84
9/9/2019 23:55,7.85
9/9/2019 23:56,7.84
9/9/2019 23:56,7.84
9/9/2019 23:57,7.84
9/9/2019 23:57,7.84
9/9/2019 23:57,7.84
9/9/2019 23:58,7.85
9/9/2019 23:58,7.84
9/9/2019 23:59,7.85
9/9/2019 23:59,7.86
9/9/2019 23:59,7.86
9/10/2019 0:00,7.87
9/10/2019 0:00,7.86
9/10/2019 0:01,7.86
9/10/2019 0:01,7.84
9/10/2019 0:02,7.83
9/10/2019 0:02,7.84
9/10/2019 0:02,7.84
9/10/2019 0:03,7.84
9/10/2019 0:03,7.84
9/10/2019 0:04,7.84
9/10/2019 0:04,7.83
9/10/2019 0:05,7.83
9/13/2019 21:38,7.62
9/13/2019 21:39,7.62
9/13/2019 21:39,7.63
9/13/2019 21:39,7.63
9/13/2019 21:40,7.63
9/13/2019 21:40,7.63
9/13/2019 21:41,7.63
9/13/2019 21:41,7.63
9/13/2019 21:41,7.64
9/13/2019 21:42,7.65
9/13/2019 21:42,7.64
9/13/2019 21:43,7.65
9/13/2019 21:43,7.64
9/13/2019 21:44,7.65
9/13/2019 21:44,7.65
9/13/2019 21:44,7.65
9/13/2019 21:45,7.65
9/13/2019 21:45,7.66
9/13/2019 21:46,7.65
9/13/2019 21:46,7.66
9/13/2019 21:47,7.65
9/13/2019 21:47,7.65
9/13/2019 21:47,7.66
9/13/2019 21:48,7.66
9/13/2019 21:48,7.67
9/13/2019 21:49,7.68
9/13/2019 21:49,7.7
9/13/2019 21:49,7.67
9/13/2019 21:50,7.67
9/13/2019 21:50,7.68
9/13/2019 21:51,7.67
9/13/2019 21:51,7.68
9/13/2019 21:52,7.68
9/13/2019 21:52,7.68
9/13/2019 21:52,7.68
9/13/2019 21:53,7.68
9/13/2019 21:53,7.68
9/13/2019 21:54,7.68
9/13/2019 21:54,7.67
9/13/2019 21:55,7.67
9/13/2019 21:55,7.68
9/13/2019 21:55,7.67
9/13/2019 21:56,7.67
9/13/2019 21:56,7.68
9/13/2019 21:57,7.68
9/13/2019 21:57,7.68
9/13/2019 21:58,7.68
9/13/2019 21:58,7.68
9/13/2019 21:58,7.67
9/13/2019 21:59,7.67
9/13/2019 21:59,7.67
9/13/2019 22:01,7.48
9/13/2019 22:02,7.62
9/13/2019 22:02,7.64
9/13/2019 22:02,7.65
9/13/2019 22:03,7.66
9/13/2019 22:03,7.67
9/13/2019 22:04,7.67
9/13/2019 22:04,7.67
9/13/2019 22:05,7.66
9/13/2019 22:36,7.18
9/13/2019 22:37,7.56
9/13/2019 22:37,7.59
9/13/2019 22:37,7.62
9/13/2019 22:38,7.65
9/13/2019 22:38,7.67
9/13/2019 22:39,7.67
9/13/2019 22:39,7.69
9/13/2019 22:40,7.67
9/13/2019 22:40,7.69
9/13/2019 22:40,7.68
9/13/2019 22:41,7.68
9/13/2019 22:41,7.69
9/13/2019 22:42,7.7
9/13/2019 22:42,7.7
9/13/2019 22:43,7.71
9/13/2019 22:43,7.71
9/13/2019 22:43,7.71
9/13/2019 22:44,7.7
9/13/2019 22:44,7.71
